"ACA_Tracking__c","Account_Source_Detail__c","Account_Source_Options__c","Account_Status__c","Account_Type__c","AccountSource","Adoption_Date__c","Banking_Information__c","Benefits_Plan__c","Bill_Rate__c","BillingCity","BillingPostalCode","BillingState","BillingStreet","Business_Structure__c","Check_Date__c","Client_Expectations__c","Client_Legal_Name__c","Client_Prioritieis__c","Close_Date__c","COBRA__c","COI__c","COI_Renewal_Date__c","Company_HQ_State__c","Company_Start_Date__c","Cost_Centers__c","CPEO_Form_8973_Sent_to_IRS__c","CreatedDate","Current_Payroll_PEO_Provider__c","DBA_Name__c","Delivery_Method__c","Description","E_Verify__c","E_Verify_Connector__c","EAP__c","Effective_Date__c","EIN__c","Employee_Data_Import_Received__c","Employee_Types__c","EPLI__c","Exemptions__c","Fax","First_Check_Date__c","First_Pay_Period__c","FMLA__c","Funding_Method__c","History_Required__c","HR_Contact__c","HR_Team__c","HRIS__c","Id","Important_Information__c","Industry","Job_Costing_Requested__c","Master_401k__c","Master_Ancillary__c","Master_Handbook__c","Master_Health__c","Master_Plan_Effective_Date__c","Master_WC__c","NACIS_Code__c","NAIC_Code__c","Name","Number_of_Pay_Periods__c","NumberOfEmployees","Onboarding_Method__c","Operating_Status__c","Ownership","ParentId","Pay_Frequency__c","Pay_Period_1__c","Pay_Period_2__c","Pay_Period_3__c","Pay_Period_4__c","Pay_Period_End__c","Pay_Period_Start__c","Payroll__c","Payroll_Contact__c","Payroll_Personnel__c","Payroll_Platform__c","Period_1_End__c","Period_1_Pay_Date__c","Period_1_Start__c","Period_2_End__c","Period_2_Pay_Date__c","Period_2_Start__c","Period_3_End__c","Period_3_Pay_Date__c","Period_3_Start__c","Period_4_End__c","Period_4_Pay_Date__c","Period_4_Start__c","Phone","Plan_ID__c","Plan_Start_Date__c","Pretty_Contribution__c","Pretty_Eligibility__c","Previous_Payroll_Provider__c","Prior_Payroll_Provider__c","Quarterly_Announcement__c","Rating","Reason_for_leaving__c","Referrer_Name__c","Retirement_Deduction_Codes_Needed__c","Sales_Commitments__c","Scheduled_Termination_Date__c","Semi_Monthly_Pay_Day__c","Semi_Monthly_Pay_Period_1_End__c","Semi_Monthly_Pay_Period_1_Pay_Day__c","Semi_Monthly_Pay_Period_1_Start__c","Semi_Monthly_Pay_Period_2_End__c","Semi_Monthly_Pay_Period_2_Pay_Day__c","Semi_Monthly_Pay_Period_2_Start__c","Semi_Monthly_Pay_Period_Days__c","Service_ACA__c","ShippingCity","ShippingPostalCode","ShippingState","ShippingStreet","Special_Instructions__c","Spending_Plan__c","Stand_Alone_Renewal_Date__c","State_SUTA__c","State_SUTA_Rate__c","States__c","Tax_Exempt_Status__c","Term_Date__c","Term_Notification_Date__c","Term_Reason__c","Term_Reason_Detail__c","Time_Clock_Types__c","TLM__c","Track_Accruals__c","Type","UKG_Short_name__c","Vesting_Schedule__c","Website","Weekly_Pay_Day__c","Weekly_Period_End__c","Weekly_Period_Start__c","Welcome_Call_Completed__c","Welcome_Call_Date__c","Worklio_Client_Number__c","Year_Business_Started__c"
"false","","","Prospect","","","","","","","","","","","","","","","","","false","","","","","","false","2019-04-12T13:26:46.000Z","","","","","false","false","false","","","false","","false","","","","","false","","","","false","false","0011U00000Nh8dLQAR","","Civic & Social Organization","","false","false","false","false","","false","","","Central American Resource Center","","200","","","","","","","","","","","","false","","","","","","","","","","","","","","","","(213) 385-7800","","","","","","","false","","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","false","false","","","","http://carecen-la.org","","","","false","","",""
"false","","","Terminated","ASO","","","","","","Clemson","29631","SC","129 Old Greenville Highway","","","","T&T Unlimited, LLC","","2019-04-12","false","","","","","","false","2019-04-12T16:19:18.000Z","","The Esso Club","","","false","false","false","","","false","","false","","","","","false","","","","false","false","0011U00000Nh9p7QAB","","Hospitality","","false","false","false","false","","false","","","The Esso Club","","47","","","","","Biweekly","","","","","","","false","0031U00000Rgm0UQAR","","Worklio","","","","","","","","","","","","","(864) 654-5120","","","","","","Paychex","false","","","","","","2022-12-31","","","","","","","","","false","","","","","","","","","","SC","","","2022-12-01","Competitor","","","false","false","ASO","","","https://theessoclub.com/","","","","false","","",""
"false","","","Terminated","","Other","","","","","Cornelia","30531","GA","264 Stapleton Road","","","","Habersham Metal Products Co Inc","","","false","","","","","","false","2019-04-13T13:45:51.000Z","","Habersham Metal Products","","Current HR client. Will be moving client to full service PEO","false","false","false","","58-0641844","false","","false","","","","","false","","","","false","false","0011U00000Ou88oQAB","","Manufacturing","","false","false","false","false","","false","","","Habersham Metal Products Co Inc","","67","","","","","","","","","","","","false","","","","","","","","","","","","","","","","(706) 778-2212","","","","","","Paycom","false","","","","","","","","","","","","","","","false","","","","","","","","","","GA;SC","","","","","","","false","false","","","","http://www.habershammetal.com","","","","false","","","1960"
"false","","","Prospect","","","","","","","Atlanta","30336","GA","650 Wharton Drive Southwest","","","","Bee Gee Graphics","","","false","","","","","","false","2019-04-13T13:58:18.000Z","","Sir Speedy Print Signs Marketing","","Currently has Trinet. Met with John and he has gotten over loss runs and has been working with Graham to get all information needed.","false","false","false","","58-1694490","false","","false","","","","","false","","","","false","false","0011U00000Ou89cQAB","","Retail","","false","false","false","false","","false","","","Sir Speedy Inc","","7","","","","","","","","","","","","false","","","","","","","","","","","","","","","","(404) 699-0600","","","","","","Trinet","false","","","","","","","","","","","","","","","false","","","","","","","","","","GA","","","","","","","false","false","","","","http://sirspeedy.com","","","","false","","","1995"
"false","","","Prospect","","","","","","","Duluth","30096","GA","3700 Crestwood Parkway Northwest","","","","","","","false","","","","","","false","2019-04-13T14:28:18.000Z","","","","","false","false","false","","","false","","false","","","","","false","","","","false","false","0011U00000Ou8BiQAJ","","Computer Software","","false","false","false","false","","false","","","Sis Software LLC","","36","","","","","","","","","","","","false","","","","","","","","","","","","","","","","(678) 380-2267","","","","","","HROI","false","","","","","","","","","","","","","","","false","","","","","","","","","","CA;FL;GA;MA;NC;OH;PA;TX","","","","","","","false","false","","","","www.sisn.com","","","","false","","",""
"false","","","Prospect","","","","","","","Spartanburg","29301","SC","2790 Fairforest Clevedale Road","","","","","","","false","","","","","","false","2019-04-14T18:56:52.000Z","","","","","false","false","false","","","false","","false","","","","","false","","","","false","false","0011U00000OuAOTQA3","","Manufacturing","","false","false","false","false","","false","","","Heiche US Surface Technology LP","","22","","","","","","","","","","","","false","","","","","","","","","","","","","","","","(864) 764-1160 ext. 104","","","","","","ADP","false","","","","","","","","","","","","","","","false","","","","","","","","","","SC","","","","","","","false","false","","","","www.heichegroup.com","","","","false","","",""
"false","","","Prospect","","","","","","","Greenville","29607","SC","355 Woodruff Road Suite 303","","","","","","","false","","","","","","false","2019-04-15T13:19:27.000Z","","","","worked with Michelle on putting together pricing for payroll. They decided to it In house. Are in need of HR services. Jada went and met with Michelle and we have put together a plan for HR services","false","false","false","","","false","","false","","","","","false","","","","false","false","0011U00000OuFhgQAF","","Healthcare","","false","false","false","false","","false","","","FAVOR Greenville","","20","","","","","","","","","","","","false","","","","","","","","","","","","","","","","(864) 385-7757","","","","","","in house","false","","","","","","","","","","","","","","","false","","","","","","","","","","SC","","","","","","","false","false","","","","favorgreenville.org","","","","false","","",""
"false","","","Prospect","","","","","","","Piedmont","29673","SC","500 McNeely Rd","","","","Lesley Erectors, Inc","","","false","","","","","","false","2019-04-15T15:49:01.000Z","","Lesley Erectors","","","false","false","false","","","false","","false","","","","","false","","","","false","false","0011U00000OuGrAQAV","","Construction","","false","false","false","false","","false","","","Lesley Erectors","","32","","","","","","","","","","","","false","","","","","","","","","","","","","","","","(864) 400-6320","","","","","","Paychex","false","","","","","","","","","","","","","","","false","","","","","","","","","","SC","","","","","","","false","false","","","","","","","","false","","",""
"false","","","Prospect","","","","","","","Piedmont","29673","SC","432 McNeely Rd","","","","Steelworks of the Carolinas, Inc","","","false","","","","","","false","2019-04-15T15:52:23.000Z","","Steelworks of the Carolinas","","","false","false","false","","","false","","false","","","","","false","","","","false","false","0011U00000OuHcHQAV","","Manufacturing","","false","false","false","false","","false","","","Steelworks of the Carolinas","","102","","","","","","","","","","","","false","","","","","","","","","","","","","","","","(864) 295-1760","","","","","","Paychex","false","","","","","","","","","","","","","","","false","","","","","","","","","","SC","","","","","","","false","false","","","","steel-works.com","","","","false","","",""
"false","","","Terminated","","","","","","","","","","","","","","","","","false","","","","","","false","2019-04-15T21:28:24.000Z","","","","","false","false","false","","","false","","false","","","","","false","","","","false","false","0011U00000OuLpYQAV","","","","false","false","false","false","","false","","","Nick Test Account","","100","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","false","false","","","","","","","","false","","",""
"false","","","Client","ASO","","","","","","Augusta","30907","GA","229 Furys Ferry Road","","","","McCauley Properties, LLC","","2019-04-15","false","","","GA","","","false","2019-04-16T02:44:35.000Z","","Fleet Feet Augusta","","","false","false","false","2019-04-12","","false","","false","","","","","false","","","","false","false","0011U00000OuN30QAF","","Retail","","false","false","false","false","","false","","","Fleet Feet Augusta","","23","","","","","Biweekly","","","","","","","false","","Samantha Brooks","UKG HR","","","","","","","","","","","","","(803) 640-8141","","","","","","PropelHR","false","","","","","","","","","","","","","","","false","Augusta","30907","GA","229 Furys Ferry Road","","","","","","GA","","","","","","","false","false","ASO","","","www.fleetfeetaugusta.com","","","","false","","",""
"false","","","Prospect","","","","","","","Spartanburg","29303","SC","8345 Fairforest Road","","","","","","","false","","","","","","false","2019-04-16T13:30:47.000Z","","Upstate Grading & Engineering","","","false","false","false","","","false","","false","","","","","false","","","","false","false","0011U00000OuO2WQAV","","","","false","false","false","false","","false","","","Upstate Grading & Engineering","","40","","","","","","","","","","","","false","","","","","","","","","","","","","","","","(864) 708-0900","","","","","","ADP","false","","","","","","","","","","","","","","","false","","","","","","","","","","SC","","","","","","","false","false","","","","","","","","false","","",""
"false","","","Terminated","","","","","","","","","","","","","","","","","false","","","","","","false","2019-04-16T13:43:37.000Z","","Little Princess","","","false","false","false","","","false","","false","","","","","false","","","","false","false","0011U00000OuO4dQAF","","","","false","false","false","false","","false","","","The Little Princess","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","PropelHR","false","","","Angela Tyler","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","false","false","","","","","","","","false","","",""
"false","","","Prospect","","Other","","","","","","","","","","","","","","","false","","","","","","false","2019-04-16T17:12:23.000Z","","","","","false","false","false","","","false","","false","","","","","false","","","","false","false","0011U00000OuOixQAF","","Retail","","false","false","false","false","","false","","6794","Foot Solutions","","25","","","","","","","","","","","","false","","","","","","","","","","","","","","","","(770) 955-0099 ext. 1112","","","","","","","false","","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","false","false","","","","www.footsolutions.com","","","","false","","",""
"false","","","Prospect","","Other","","","","","Charlotte","28206","NC","2135 Tipton Drive","","","","","","","false","","","","","","false","2019-04-16T17:43:57.000Z","","C.A.S.H. Holding Company, LLC","","","false","false","false","","","false","","false","","","","","false","","","","false","false","0011U00000OuPUnQAN","","Other","","false","false","false","false","","false","","","Carolinas Auto Supply House","","50","","","","","","","","","","","","false","","","","","","","","","","","","","","","","(704) 334-4646","","","","","","","false","Warm","","Craig Cox","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","false","false","","","","www.autosupplyhouse.com","","","","false","","",""
"false","","","Prospect","","Website","","","","","Atlanta","30305","GA","2870 Peachtree Rd","","","","Imagine Exhibitions, Inc.","","","false","","","","","","false","2019-04-16T17:44:34.000Z","","","","","false","false","false","","","false","","false","","","","","false","","","","false","false","0011U00000OuPUxQAN","","Other","","false","false","false","false","","false","","","Imagine Exhibitions","","50","","","","","","","","","","","","false","","","","","","","","","","","","","","","","(404) 514-0385","","","","","","","false","Cold","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","false","false","","","","www.imagineexhibitions.com","","","","false","","",""
"false","","","Prospect","","","","","","","","","","","","","","","","","false","","","","","","false","2019-04-17T14:42:08.000Z","","","","","false","false","false","","","false","","false","","","","","false","","","","false","false","0011U00000PWkRVQA1","","Manufacturing","","false","false","false","false","","false","","","Orian Rugs Inc","","300","","","","","","","","","","","","false","","","","","","","","","","","","","","","","(864) 224-0271","","","","","","PayCom","false","","","","","","","","","","","","","","","false","","","","","","","","","","SC","","","","","","","false","false","","","","http://orianrugs.com","","","","false","","",""
"false","","","Prospect","","","","","","","","","","","","","","","","","false","","","","","","false","2019-04-17T14:53:04.000Z","","","","","false","false","false","","","false","","false","","","","","false","","","","false","false","0011U00000PWkTvQAL","","Mechanical or Industrial Engineering","","false","false","false","false","","false","","","E+I Engineering USA Corp","","200","","","","","","","","","","","","false","","","","","","","","","","","","","","","","(864) 375-1757","","","","","","","false","","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","false","false","","","","www.e-i-eng.com","","","","false","","",""
"false","","","Prospect","","","","","","","Pelzer","29669","SC","502 Stegall Road","","","","South Eastern Machining, Inc","","","false","","","","","","false","2019-04-17T15:03:17.000Z","","","","","false","false","false","","","false","","false","","","","","false","","","","false","false","0011U00000PWkTwQAL","","Machinery","","false","false","false","false","","false","","","South Eastern Machining","","22","","","","","","","","","","","","false","","","","","","","","","","","","","","","","(864) 947-6875","","","","","","ADP","false","","","","","","","","","","","","","","","false","","","","","","","","","","SC","","","","","","","false","false","","","","semachining.com","","","","false","","",""
"false","","","Prospect","","","","","","","","","","","","","","","","","false","","","","","","false","2019-04-18T01:28:33.000Z","","","","","false","false","false","","","false","","false","","","","","false","","","","false","false","0011U00000PWozwQAD","","Non-Profit Organization Management","","false","false","false","false","","false","","","Wake County Medical Society","","50","","","","","","","","","","","","false","","","","","","","","","","","","","","","","(919) 923-2442","","","","","","","false","","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","false","false","","","","www.wakedocs.org","","","","false","","",""
"false","","","Prospect","","Other","","","","","","","","","","","","","","","false","","","","","","false","2019-04-18T15:07:25.000Z","","The Eye Guys","","","false","false","false","","","false","","false","","","","","false","","","","false","false","0011U00000PWqOGQA1","","Hospital & Health Care","","false","false","false","false","","false","","","Eye Physicians and Surgeons of Augusta, P.C.","","10","","","","","","","","","","","","false","","","","","","","","","","","","","","","","(706) 651-2020 ext. 7153","","","","","","ADP TotalSource PEO","false","Hot","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","false","false","","","","www.eyeguys.com","","","","false","","",""
"false","","","Prospect","","","","","","","Greenville","29601","SC","131 Falls Street
Suite 302","","","","","","","false","","","","","","false","2019-04-22T11:52:25.000Z","","","","","false","false","false","","","false","","false","","","","","false","","","","false","false","0011U00000PsjMfQAJ","","Healthcare","","false","false","false","false","","false","","","ArcPoint Labs","","18","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","Oasis","false","","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","false","false","","","","","","","","false","","",""
"false","","","Prospect","","","","","","","","","","","","","","","","","false","","","","","","false","2019-04-22T17:24:40.000Z","","","","","false","false","false","","","false","","false","","","","","false","","","","false","false","0011U00000PsoecQAB","","Machinery","","false","false","false","false","","false","","","Machine Shop Servies","","35","","","","","","","","","","","","false","","","","","","","","","","","","","","","","(864) 433-0190","","","","","","","false","","","","","","","","","","","","","","","false","","","","","","","","","","SC","","","","","","","false","false","","","","machineshopserv.com","","","","false","","","1978"
"false","","","Prospect","","","","","","","","","","","","","","","","","false","","","","","","false","2019-04-22T17:32:53.000Z","","","","","false","false","false","","","false","","false","","","","","false","","","","false","false","0011U00000PsofaQAB","","Manufacturing","","false","false","false","false","","false","","","Diversified Coatings Systems, Inc.","","160","","","","","","","","","","","","false","","","","","","","","","","","","","","","","(864) 277-7891","","","","","","","false","","","","","","","","","","","","","","","false","","","","","","","","","","SC","","","","","","","false","false","","","","http://diversified-coatings.com","","","","false","","",""
"false","Craig Cox","","Client","ASO","Inside Sales","","","","","Greenville","29607","SC","777 Lowndes Hill Rd. Bldg 3 Suite 325","","","","","","2018-12-01","false","","","SC","","","false","2019-04-22T17:40:24.000Z","","","","","false","false","false","2019-04-19","","false","","false","","","","","false","","","0031U00000ReyZVQAZ","false","false","0011U00000Psoi5QAB","","","","true","false","false","true","","false","","","Procemex","","5","","","","","Weekly","","","","","","","true","0031U00000ReyZVQAZ","Becky Cumberland","Worklio","","","","","","","","","","","","","(508) 720-1540","","","The company offers a Safe Harbor match, providing a 100% match on employee 401k contributions up to 4% of their salary.","Age: 21 years
Service: 6 months","","PropelHR","true","Cold","","","","","","","","","","","","","","false","Greenville","29607","SC","777 Lowndes Hill Rd. Bldg 3 Suite 325","","","","","","GA;MN;NC;SC","","","","","","","false","false","ASO","","","www.nowebsite.com","","","","false","","",""
"false","","","Client","PEO","PropelHR Employee","","","","","Greenville","29615","SC","7001 Pelham Road","","","","National Land Realty, LLC","","2018-10-15","false","","","SC","","","false","2019-04-22T17:49:32.000Z","","","","","true","false","true","2019-04-19","","false","","true","","","","","false","","","0031U00000RglzMQAR","false","false","0011U00000PsojcQAB","","Real Estate","","false","false","false","true","","false","","","National Land Realty","","20","Worklio","","","","Biweekly","","","","","","","false","0031U00000RglzMQAR","Michelle Bogle","Worklio","","","","","","","","","","","","","(864) 855-5869","","","","","","","false","Warm","","","","","","","","","","","","","","false","Greenville","29615","SC","7001 Pelham Road Suite M","","","","","","AL;CA;FL;GA;ID;IN;IA;KS;MN;MO;NE;PA;SC","","","","","","","true","false","PEO","","","https://nationalland.com/","","","","false","","",""
"false","","","Terminated","PEO","","","","","","","","","","","","","","","2018-10-08","false","","","","","","false","2019-04-22T17:55:24.000Z","","","","","false","false","false","2019-01-31","","false","","false","","","","","false","","","","false","false","0011U00000PsokBQAR","","Manufacturing","","false","false","false","false","","false","","","Big Rock","","18","","","","","","","","","","","","false","","","","","","","","","","","","","","","","(864) 236-9300","","","","","","PropelHR","false","","","","","","","","","","","","","","","false","","","","","","","","","","SC","","","","","","","false","false","PEO","","","https://www.gobigrock.com/","","","","false","","",""
"false","","","Prospect","","","","","","","","","","","","","","","","","false","","","","","","false","2019-04-22T18:01:00.000Z","","","","","false","false","false","","","false","","false","","","","","false","","","","false","false","0011U00000PsolJQAR","","","","false","false","false","false","","false","","","Greenville Humane Society","","65","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","false","","","","","","","","","","SC","","","","","","","false","false","","","","","","","","false","","",""
"false","","","Prospect","","","","","","","","","","","","","","","","","false","","","","","","false","2019-04-22T18:08:27.000Z","","","","","false","false","false","","","false","","false","","","","","false","","","","false","false","0011U00000PsonAQAR","","Hospitality","","false","false","false","false","","false","","","Hub City Hospitality","","185","","","","","","","","","","","","false","","","","","","","","","","","","","","","","(864) 327-8228","","","","","","","false","","","","","","","","","","","","","","","false","","","","","","","","","","SC","","","","","","","false","false","","","","www.willytaco.com","","","","false","","",""
"false","","","Prospect","","Other","","","","","Rock Hill","29730","SC","1686 Overview Drive","","","","","","","false","","","","","","false","2019-04-22T18:12:48.000Z","","","","","false","false","false","","","false","","false","","","","","false","","","","false","false","0011U00000PsooXQAR","","Manufacturing","","false","false","false","false","","false","","2392","Casual Cushion Corporation","","75","","","","","","","","","","","","false","","","","","","","","","","","","","","","","(803) 329-2932","","","","","","","false","Warm","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","false","false","","","","www.casualcushion.com","","","","false","","",""
